"Osnovni podatki o živorojenih, statistiène regije, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"Živorojeni - SKUPAJ";"Živorojeni na 1.000 prebivalcev"
"2002";"SLOVENIJA";17501;8.8
"2002";"Pomurska";957;7.7
"2002";"Podravska";2647;8.3
"2002";"Koroška";667;9.0
"2002";"Savinjska";2316;9.0
"2002";"Zasavska";368;8.0
"2002";"Posavska";645;9.2
"2002";"Jugovzhodna Slovenija";1301;9.4
"2002";"Osrednjeslovenska";4521;9.2
"2002";"Gorenjska";1935;9.8
"2002";"Primorsko-notranjska";404;8.0
"2002";"Goriška";978;8.2
"2002";"Obalno-kraška";762;7.3
"2003";"SLOVENIJA";17321;8.7
"2003";"Pomurska";1044;8.5
"2003";"Podravska";2628;8.2
"2003";"Koroška";644;8.7
"2003";"Savinjska";2257;8.8
"2003";"Zasavska";332;7.2
"2003";"Posavska";583;8.3
"2003";"Jugovzhodna Slovenija";1281;9.2
"2003";"Osrednjeslovenska";4490;9.1
"2003";"Gorenjska";1820;9.2
"2003";"Primorsko-notranjska";465;9.1
"2003";"Goriška";975;8.1
"2003";"Obalno-kraška";802;7.6
"2004";"SLOVENIJA";17961;9.0
"2004";"Pomurska";1031;8.4
"2004";"Podravska";2560;8.0
"2004";"Koroška";684;9.3
"2004";"Savinjska";2334;9.1
"2004";"Zasavska";361;7.9
"2004";"Posavska";605;8.6
"2004";"Jugovzhodna Slovenija";1295;9.3
"2004";"Osrednjeslovenska";4749;9.6
"2004";"Gorenjska";2022;10.2
"2004";"Primorsko-notranjska";455;8.9
"2004";"Goriška";1030;8.6
"2004";"Obalno-kraška";835;8.0
"2005";"SLOVENIJA";18157;9.1
"2005";"Pomurska";979;8.0
"2005";"Podravska";2690;8.4
"2005";"Koroška";603;8.2
"2005";"Savinjska";2375;9.2
"2005";"Zasavska";348;7.7
"2005";"Posavska";580;8.3
"2005";"Jugovzhodna Slovenija";1318;9.5
"2005";"Osrednjeslovenska";4939;9.9
"2005";"Gorenjska";1952;9.8
"2005";"Primorsko-notranjska";495;9.7
"2005";"Goriška";1037;8.7
"2005";"Obalno-kraška";841;8.0
"2006";"SLOVENIJA";18932;9.4
"2006";"Pomurska";970;7.9
"2006";"Podravska";2685;8.4
"2006";"Koroška";672;9.1
"2006";"Savinjska";2439;9.4
"2006";"Zasavska";387;8.5
"2006";"Posavska";656;9.4
"2006";"Jugovzhodna Slovenija";1411;10.1
"2006";"Osrednjeslovenska";5234;10.4
"2006";"Gorenjska";2130;10.7
"2006";"Primorsko-notranjska";473;9.2
"2006";"Goriška";1017;8.5
"2006";"Obalno-kraška";858;8.1
"2007";"SLOVENIJA";19823;9.8
"2007";"Pomurska";997;8.2
"2007";"Podravska";2666;8.3
"2007";"Koroška";682;9.3
"2007";"Savinjska";2548;9.8
"2007";"Zasavska";449;9.9
"2007";"Posavska";587;8.4
"2007";"Jugovzhodna Slovenija";1499;10.6
"2007";"Osrednjeslovenska";5570;11.0
"2007";"Gorenjska";2156;10.8
"2007";"Primorsko-notranjska";507;9.8
"2007";"Goriška";1174;9.8
"2007";"Obalno-kraška";988;9.2
"2008";"SLOVENIJA";21817;10.8
"2008";"Pomurska";1058;8.8
"2008";"Podravska";3057;9.5
"2008";"Koroška";787;10.8
"2008";"Savinjska";2777;10.8
"2008";"Zasavska";428;9.5
"2008";"Posavska";691;9.9
"2008";"Jugovzhodna Slovenija";1584;11.3
"2008";"Osrednjeslovenska";6234;12.1
"2008";"Gorenjska";2281;11.4
"2008";"Primorsko-notranjska";561;10.8
"2008";"Goriška";1248;10.5
"2008";"Obalno-kraška";1111;10.3
"2009";"SLOVENIJA";21856;10.7
"2009";"Pomurska";1115;9.3
