"Živorojeni po starosti in izobrazbi matere ter vrstnem redu rojstva, Slovenija, letno"

"STAROSTNE SKUPINE";"IZOBRAZBA MATERE";"2010 Prvo rojstvo";"2011 Prvo rojstvo";"2012 Prvo rojstvo";"2013 Prvo rojstvo";"2014 Prvo rojstvo";"2015 Prvo rojstvo";"2016 Prvo rojstvo";"2017 Prvo rojstvo";"2018 Prvo rojstvo";"2019 Prvo rojstvo";"2020 Prvo rojstvo";"2021 Prvo rojstvo";"2022 Prvo rojstvo";"2023 Prvo rojstvo";"2024 Prvo rojstvo"
"Starostne skupine - SKUPAJ";"Izobrazba matere - SKUPAJ";10992;10637;10524;10469;10154;9881;9640;9268;8902;8895;8743;8557;8246;7884;7806
"Starostne skupine - SKUPAJ";"Osnovnošolska ali nižja - skupaj";837;836;721;795;688;728;640;553;498;555;561;510;547;588;604
"Starostne skupine - SKUPAJ";"Brez izobrazbe, nepopolna osnovnošolska";107;115;108;140;98;138;142;112;131;...;...;...;...;...;...
"Starostne skupine - SKUPAJ";"Osnovnošolska";730;721;613;655;590;590;498;441;367;...;...;...;...;...;...
"Starostne skupine - SKUPAJ";"Srednješolska - skupaj";5415;4907;5145;4743;4500;4114;3844;3756;3553;3536;3461;3279;3225;3030;3002
"Starostne skupine - SKUPAJ";"Nižja poklicna, srednja poklicna";1095;977;971;866;775;718;727;690;643;691;742;676;703;723;793
"Starostne skupine - SKUPAJ";"Srednja strokovna, srednja splošna";4320;3930;4174;3877;3725;3396;3117;3066;2910;2845;2719;2603;2522;2307;2209
"Starostne skupine - SKUPAJ";"Višješolska in visokošolska - skupaj";4740;4894;4658;4931;4966;5039;5156;4959;4851;4804;4721;4768;4474;4266;4200
"Starostne skupine - SKUPAJ";"Visokošolska 1. stopnje ipd.";2095;1648;1573;1960;2098;2189;2296;2250;2238;...;...;...;...;...;...
"Starostne skupine - SKUPAJ";"Visokošolska 2. stopnje ipd.";2446;2988;2859;2735;2630;2574;2607;2464;2368;...;...;...;...;...;...
"Starostne skupine - SKUPAJ";"Visokošolska 3. stopnje ipd.";199;258;226;236;238;276;253;245;245;...;...;...;...;...;...
"Pod 20 let";"Izobrazba matere - SKUPAJ";219;229;187;197;198;187;157;151;131;171;156;126;119;145;127
"Pod 20 let";"Osnovnošolska ali nižja - skupaj";154;164;148;148;149;138;112;112;90;122;113;79;80;98;83
"Pod 20 let";"Brez izobrazbe, nepopolna osnovnošolska";30;31;21;18;22;31;35;33;26;...;...;...;...;...;...
"Pod 20 let";"Osnovnošolska";124;133;127;130;127;107;77;79;64;...;...;...;...;...;...
"Pod 20 let";"Srednješolska - skupaj";65;65;39;49;49;49;45;39;41;49;43;47;39;47;44
"Pod 20 let";"Nižja poklicna, srednja poklicna";28;29;10;17;21;22;22;18;16;31;34;32;22;20;33
"Pod 20 let";"Srednja strokovna, srednja splošna";37;36;29;32;28;27;23;21;25;18;9;15;17;27;11
"Pod 20 let";"Višješolska in visokošolska - skupaj";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";0;0;0;0;0;0;0;0;0;...;...;...;...;...;...
"Pod 20 let";"Visokošolska 2. stopnje ipd.";0;0;0;0;0;0;0;0;0;...;...;...;...;...;...
"Pod 20 let";"Visokošolska 3. stopnje ipd.";0;0;0;0;0;0;0;0;0;...;...;...;...;...;...
"20-24 let";"Izobrazba matere - SKUPAJ";2018;1936;1951;1864;1670;1596;1515;1551;1512;1476;1414;1380;1370;1265;1317
"20-24 let";"Osnovnošolska ali nižja - skupaj";341;302;276;298;265;287;249;229;219;222;228;214;254;238;242
"20-24 let";"Brez izobrazbe, nepopolna osnovnošolska";66;76;76;103;63;81;80;62;92;...;...;...;...;...;...
"20-24 let";"Osnovnošolska";275;226;200;195;202;206;169;167;127;...;...;...;...;...;...
"20-24 let";"Srednješolska - skupaj";1491;1401;1467;1305;1159;1022;1012;1076;1043;1034;948;935;902;825;849
"20-24 let";"Nižja poklicna, srednja poklicna";290;302;306;262;227;202;217;229;249;264;293;272;295;264;300
"20-24 let";"Srednja strokovna, srednja splošna";1201;1099;1161;1043;932;820;795;847;794;770;655;663;607;561;549
