"Povpreène meseène plaèe pri pravnih osebah, obèine delovnega mesta, Slovenija, letno"

"OBÈINE";"Povpreèna meseèna bruto plaèa (EUR) 2023";"Povpreèna meseèna bruto plaèa (EUR) 2024";"Povpreèna meseèna bruto plaèa (EUR) 2025";"Povpreèna meseèna neto plaèa (EUR) 2023";"Povpreèna meseèna neto plaèa (EUR) 2024";"Povpreèna meseèna neto plaèa (EUR) 2025"
"SLOVENIJA";2254.86;2394.92;2536.03;1470.08;1526.02;1602.05
"Ajdovšèina";2100.26;2252.87;2394.71;1388.40;1453.57;1529.24
"Ankaran";2273.32;2404.82;2638.66;1480.90;1527.62;1654.28
"Apaèe";1860.77;1989.01;2113.91;1254.96;1306.95;1377.99
"Beltinci";1918.56;2105.19;2263.77;1284.85;1364.15;1456.40
"Benedikt";1810.33;1911.07;2112.46;1219.24;1250.42;1363.76
"Bistrica ob Sotli";2014.95;2090.83;2293.15;1334.74;1346.02;1466.11
"Bled";2131.14;2268.88;2381.44;1397.78;1455.92;1515.37
"Bloke";1861.02;1986.75;2106.31;1249.60;1302.75;1366.63
"Bohinj";1835.02;1958.39;2121.58;1232.84;1281.91;1368.80
"Borovnica";2029.56;2163.24;2261.68;1323.15;1376.45;1428.24
"Bovec";1943.26;2079.62;2157.14;1293.25;1353.64;1386.97
"Braslovèe";1932.91;2091.24;2181.41;1291.96;1360.09;1403.76
"Brda";1964.44;2066.68;2158.05;1308.15;1340.99;1388.84
"Brezovica";1992.47;2182.93;2355.09;1314.97;1400.52;1496.96
"Brežice";2065.22;2189.02;2360.25;1357.74;1402.13;1497.63
"Cankova";1918.26;1992.55;2081.27;1279.18;1298.90;1343.41
"Celje";2160.83;2297.61;2448.39;1415.54;1475.09;1554.18
"Cerklje na Gorenjskem";2583.10;2640.72;2720.29;1648.88;1657.49;1696.14
"Cerknica";1852.01;1967.44;2114.80;1241.57;1288.88;1369.45
"Cerkno";1765.65;1854.51;1909.00;1192.80;1219.91;1248.99
"Cerkvenjak";1777.22;1968.17;1980.33;1193.56;1287.39;1297.67
"Cirkulane";1987.06;2154.11;2265.89;1294.76;1372.91;1422.04
"Èrenšovci";2020.91;2171.66;2333.43;1331.16;1392.57;1481.66
"Èrna na Koroškem";2132.90;2249.12;2373.99;1403.45;1449.62;1515.44
"Èrnomelj";1913.74;2016.60;2171.27;1273.12;1306.78;1392.17
"Destrnik";1753.36;1931.20;2187.52;1177.00;1260.42;1411.91
"Divaèa";2073.54;2172.23;2300.60;1371.67;1396.57;1468.69
"Dobje";2058.03;2117.99;2307.35;1354.22;1361.21;1469.78
"Dobrepolje";1820.04;1916.57;2059.09;1224.07;1251.76;1332.20
"Dobrna";1977.77;2126.06;2342.96;1315.27;1376.03;1513.06
"Dobrova - Polhov Gradec";1950.13;2070.48;2184.26;1304.28;1346.57;1408.07
"Dobrovnik/Dobronak";1977.90;2011.75;2138.81;1322.15;1310.43;1379.47
"Dol pri Ljubljani";2336.31;2617.88;2712.43;1524.26;1673.10;1719.73
"Dolenjske Toplice";2029.57;2125.82;2201.82;1355.15;1386.19;1418.13
"Domžale";2041.69;2163.52;2285.32;1354.11;1400.70;1463.78
"Dornava";2129.20;2202.30;2464.53;1407.73;1422.93;1570.94
"Dravograd";1998.73;2082.33;2211.99;1319.34;1338.87;1409.99
"Duplek";1809.73;1947.99;2120.89;1216.96;1276.07;1376.34
"Gorenja vas - Poljane";2105.87;2233.66;2358.40;1395.09;1442.17;1509.00
"Gorišnica";1803.43;1888.64;1991.61;1198.81;1225.59;1283.40
"Gorje";2007.13;2113.76;2219.82;1336.44;1373.35;1428.50
"Gornja Radgona";2044.10;2127.41;2257.23;1349.28;1372.27;1440.03
"Gornji Grad";1753.27;1835.78;1972.16;1189.36;1215.84;1288.14
"Gornji Petrovci";1665.25;1962.80;2158.36;1128.53;1283.59;1393.30
"Grad";1844.70;2036.72;2239.44;1238.83;1328.90;1443.79
"Grosuplje";2075.53;2209.13;2281.40;1368.61;1420.02;1458.58
"Hajdina";1898.67;2085.49;2200.40;1230.97;1314.86;1381.06
"Hoèe - Slivnica";2201.98;2457.93;2576.71;1434.82;1557.56;1610.12
"Hodoš/Hodos";1534.93;1657.28;1861.60;1049.96;1097.04;1217.31
"Horjul";2402.91;2515.45;2560.99;1573.40;1623.77;1638.79
"Hrastnik";2131.32;2251.51;2337.93;1402.49;1444.59;1487.46
"Hrpelje - Kozina";1839.89;1959.84;2087.21;1228.50;1275.14;1347.83
"Idrija";2299.23;2455.38;2534.36;1497.27;1569.77;1602.12
"Ig";2017.80;2116.67;2323.04;1340.21;1373.02;1492.17
"Ilirska Bistrica";2045.42;2163.07;2310.09;1354.59;1396.93;1480.74
"Ivanèna Gorica";2067.77;2108.29;2234.72;1358.08;1353.69;1423.93
"Izola/Isola";2125.04;2239.12;2439.57;1391.35;1430.62;1542.31
"Jesenice";2266.42;2435.35;2524.59;1475.86;1549.50;1592.56
"Jezersko";1889.86;1990.58;2088.56;1251.33;1283.62;1353.94
"Juršinci";1926.80;2074.45;2207.83;1283.95;1352.98;1417.64
"Kamnik";2002.67;2150.84;2300.09;1321.32;1382.77;1462.66
"Kanal";2174.16;2341.50;2413.05;1439.45;1508.96;1537.10
"Kidrièevo";2036.05;2173.44;2324.99;1349.61;1406.99;1483.83
"Kobarid";2015.62;2105.86;2224.20;1341.70;1368.26;1430.08
"Kobilje";2017.01;2064.45;2348.41;1360.68;1354.98;1551.27
"Koèevje";1994.67;2124.63;2263.71;1325.62;1375.83;1453.32
"Komen";1860.65;1993.25;2093.33;1250.58;1303.57;1354.29
"Komenda";2334.36;2480.66;2550.95;1516.31;1576.23;1611.29
"Koper/Capodistria";2299.12;2436.50;2542.58;1499.75;1556.24;1609.60
"Kostanjevica na Krki";1814.63;1919.74;2018.70;1223.67;1257.22;1316.87
"Kostel";1963.94;1990.99;2160.37;1295.56;1284.97;1408.86
"Kozje";1775.61;1968.20;2215.26;1188.05;1276.57;1426.45
"Kranj";2252.14;2395.90;2519.80;1470.83;1527.75;1597.20
"Kranjska Gora";2035.98;2112.36;2233.34;1349.24;1370.73;1432.14
"Križevci";2210.01;2341.02;2501.26;1437.13;1489.52;1598.25
"Krško";2314.58;2468.34;2617.47;1506.88;1568.64;1645.70
"Kungota";1790.17;1910.61;2031.46;1199.22;1243.70;1312.15
"Kuzma";1607.34;1682.15;1853.41;1100.95;1118.84;1219.40
"Laško";1892.61;2024.02;2135.72;1265.39;1317.38;1377.53
"Lenart";1859.62;1973.62;2111.93;1245.10;1284.28;1359.74
"Lendava/Lendva";2025.29;2269.32;2469.88;1335.02;1456.91;1558.70
