"Povpreène meseène plaèe pri pravnih osebah, kohezijski in statistiène regije delovnega mesta, Slovenija, letno"

"KOHEZIJSKA IN STATISTIÈNA REGIJA";"Povpreèna meseèna bruto plaèa (EUR) 2023";"Povpreèna meseèna bruto plaèa (EUR) 2024";"Povpreèna meseèna bruto plaèa (EUR) 2025";"Povpreèna meseèna neto plaèa (EUR) 2023";"Povpreèna meseèna neto plaèa (EUR) 2024";"Povpreèna meseèna neto plaèa (EUR) 2025"
"SLOVENIJA";2254.86;2394.92;2536.03;1470.08;1526.02;1602.05
"Vzhodna Slovenija";2094.16;2234.29;2372.49;1378.71;1434.82;1510.52
"Pomurska";2050.54;2178.19;2329.40;1356.64;1404.94;1486.73
"Podravska";2068.26;2228.54;2377.12;1358.79;1426.51;1508.19
"Koroška";2108.72;2222.09;2349.45;1386.00;1426.61;1494.29
"Savinjska";2044.49;2184.73;2315.75;1350.23;1409.07;1482.13
"Zasavska";2060.59;2193.72;2332.26;1361.04;1412.12;1489.55
"Posavska";2153.17;2288.75;2441.62;1412.34;1464.61;1546.70
"Jugovzhodna Slovenija";2289.83;2416.86;2532.96;1499.77;1544.37;1607.37
"Primorsko-notranjska";1960.47;2068.62;2206.01;1305.41;1344.04;1416.62
"Zahodna Slovenija";2381.24;2521.43;2664.38;1541.93;1597.85;1673.89
"Osrednjeslovenska";2481.00;2625.64;2781.67;1596.68;1654.89;1738.18
"Gorenjska";2205.17;2338.40;2445.28;1444.69;1496.42;1552.66
"Goriška";2154.53;2280.97;2398.86;1421.03;1470.82;1532.04
"Obalno-kraška";2171.48;2296.72;2422.94;1424.30;1472.46;1539.81
